"","D1n1","D1n2","D3n1","D3n2","D7n1","D7n2","LZn1","LZn2","Pachn1","Pachn2"
"NM_177327",0,0,0,0,0,0,0,0,0,0
"NM_001008785",0.0602981834805415,0.127659652969406,0,0.0401711286712764,0.518296058592047,0.243634327830593,0.429793403998599,0.0455459432121414,0.8526797091765,1.06139016322262
"NM_177325",23.8177824748139,27.8298043473304,22.061330459609,24.5043884894786,29.2700879404877,26.6779588974499,7.09159116597688,5.64769695830553,10.042672130301,7.55460057352573
"NM_177324",57.343572489995,63.7021668317334,44.1396311734177,61.9840515397795,66.0691081005231,63.1317451991023,84.4544038857246,143.424175175033,132.6390658719,180.061719454944
"NM_177323",11.3963566778223,12.5106459910017,14.950793949935,12.5735632741095,12.9301227248753,13.0648908299155,2.79365712599089,1.50301612600067,7.57937519268,6.18103683288469
"NM_177322",2.29133097226058,1.6170222709458,1.56126338637233,2.28975433426275,1.17298581681358,1.09635447523767,30.5153316839005,27.0998362112241,28.043688212916,15.6711135864046
"NM_177321",0.0602981834805415,0.127659652969406,0,0,0.0545574798517944,0.334997200767065,0,0.182183772848566,0.2842265697255,0
"NM_177320",0.663280018285957,0.680851482503497,0.66183991378827,0.562395801397869,0.518296058592047,0.517722946640009,0.429793403998599,0.182183772848566,0,0.0624347154836837
"NM_177328",1.02506911916921,1.06383044141171,0.526077880190676,1.24530498880957,0.327344879110767,0.426360073703537,0.644690105997898,0.31882160248499,0.0947421899085,0.124869430967367
"NM_001164244",0,0,0,0,0,0,0,0,0,0
"NM_001276396",0,0,0,0,0,0,0,0,0,0
"NM_001276397",0.0602981834805415,0,0,0,0,0,9.45545488796917,13.2538694747331,4.547625115608,6.36834097933574
"NM_001276390",2.89431280706599,2.76595914767045,2.61341914675368,1.44616063216595,1.09114959703589,0.791811565449426,0,0,0,0
"NM_001276391",0.0602981834805415,0,0,0,0.136393699629486,0.0304542909788241,0,0,0,0
"NM_001164242",0,0,0,0,0,0,0,0,0,0
"NM_001164243",0,0,0,0,0,0,0,0,0,0
"NM_001164248",0,0,0,0,0,0,0,0,0,0
"NM_001164249",1.56775277049408,1.23404331203759,2.05340075816361,1.60684514685106,2.75515273251562,2.83224906103064,0.429793403998599,0.0910918864242828,0,0.124869430967367
"NM_001167910",0,0,0,0,0,0,0,0,0,0
"NM_001167913",0,0.0425532176564685,0.0169702541996992,0,0.0272787399258972,0,1.2893802119958,1.27528640993996,0.2842265697255,0.187304146451051
"NM_001167914",0,0.0425532176564685,0.0678810167987969,0.0401711286712764,0.109114959703589,0.182725745872944,3.86814063598739,3.9624970594563,0.568453139451,0.936520732255256
"NM_177326",45.4045321608478,48.4255616930612,44.122660919218,49.852370681054,50.7111775222429,51.6809317910644,16.3321493519468,19.9035771837058,36.00203216523,26.7220582270166
"NM_001167918",34.7920518682725,33.0638501190761,1.57823364057203,32.5787853524052,34.4803272663341,31.2765568352523,4.51283074198529,0.95646480745497,4.6423673055165,2.06034561096156
"NM_001164336",0.180894550441625,0.212766088282343,0.254553812995488,0.401711286712764,0.436459838814355,0.15227145489412,0.214896701999299,0.182183772848566,0.2842265697255,0
"NM_001161540",0.120596366961083,0.0851064353129371,0,0.0401711286712764,0.0272787399258972,0,0,0,0,0
"NM_001161541",0.482385467844332,0.212766088282343,0.305464575594586,0.281197900698935,0.272787399258972,0.213180036851768,0,0,0,0
"NM_001164790",0,0,0,0,0,0,0,0,0,0
"NM_001164791",11.8184439621861,15.2340519210157,13.2877090383645,16.6308472699084,11.5389069886545,9.31901303952016,14.1831823319538,9.15473458564042,16.9588519936215,12.2996389502857
"NM_001164797",0.0602981834805415,0.127659652969406,0.0509107625990977,0.0401711286712764,0,0.0913628729364722,0,0.227729716060707,0.189484379817,0.0624347154836837
"NM_001161548",0,0.0425532176564685,0.101821525198195,0.0401711286712764,0.109114959703589,0.243634327830593,0,0,0,0
"NM_001164798",0,0,0,0,0,0,0,0,0,0
"NM_001164799",0,0,0,0,0,0,0,0,0,0
"NM_001177890",0,0,0,0,0,0,0,0,0,0
"NM_001177897",0,0,0,0,0,0,0,0,0,0
"NM_001177896",0,0,0,0,0,0,0,0,0,0
"NM_001177899",0,0,0,0,0,0,0,0,0,0
"NM_001177898",0,0,0,0,0,0,0,0,0,0
"NM_029100",38.9526265284298,41.4468339974004,49.9943688723139,40.9745512447019,22.6959116183465,22.7798096521604,1.5042769139951,0.364367545697131,0.568453139451,0.187304146451051
"NM_172919",7.47697475158715,7.23404700159965,7.56873337306585,8.35559476362549,8.34729441732455,8.28356714624015,5.37241754998248,4.14468083230487,7.2951486229545,5.11964666966207
"NM_172918",24.1192733922166,23.9149083229353,23.7074451169798,27.035169595769,24.960047032196,25.8861473320005,43.4091338038585,44.9993918935957,26.717297554197,22.2891934276751
"NM_172913",2.11043642181895,1.87234157688462,0.88245321838436,0.923935959439357,1.44577321607255,2.04043749558121,4.72772744398459,2.45948093345564,2.084328177987,0.624347154836837
"NM_172912",0.120596366961083,0.255319305938811,0.0509107625990977,0.241026772027658,0.0272787399258972,0.0304542909788241,88.322544521712,143.742996777518,140.028956684763,172.070075873032
"NM_172911",7.23578201766498,9.95745293161364,5.48139210650285,8.07439686292656,5.64669916466072,5.11632088444244,0.644690105997898,0.0910918864242828,0.757937519268,0.437043008385786
"NM_172910",0,0,0,0,0,0,0,0.0455459432121414,0,0.0624347154836837
"NM_172916",1.80894550441625,3.02127845360927,0.322434829794285,0.843593702096804,0.845640937702814,1.06590018425884,331.585611184919,388.415803713142,234.581662213446,278.958308781099
"NM_172914",0.904472752208123,2.12766088282343,0.780631693186164,0.642738058740422,0.409181098888458,0.334997200767065,105.084487277657,214.521392529186,102.226822911271,164.57791001499
"NM_010587",3.9193819262352,3.36170419486101,2.63038940095338,3.25386142237339,4.03725350903279,4.23314644605655,7.09159116597688,11.2953939166111,4.168656355974,6.68051455675416
"NM_010586",0,0,0,0,0,0,0,0,0,0
"NM_010585",119.209508741031,117.48943394951,70.0532093363584,122.240744546694,101.095010165375,101.412788959484,8.38097137797267,9.10918864242828,9.284734611033,4.9947772386947
"NM_010584",0,0.0425532176564685,0,0,0,0,0,0,0,0
